username,handle,tweet_text,time
Train Aficionado,@railaficionado,Just rolled out of the Linwood Yard NS135 heading for the S-Line.Taken 02/09/2020#northcarolina #norfolksouthern #railroad #railroadphotography #trainspotting #railroadbridge #trains #interstate #sunset #sundayfunday #sunday #railfanning,2020-02-09T21:58:53.000Z
Cody Alan,@codybaertschi,More from Watertown. #trainspotting #railroad #norfolksouthern #cprr #canadianpacific,2020-02-09T20:55:18.000Z
Train Aficionado,@railaficionado,"Southbound super long mixed freight making its way through Landis, NC.Taken 02/07/2020#trains #railroad #northcarolina #norfolksouthern #locomotive #railfan #sky #railroadcrossing",2020-02-07T19:46:42.000Z
Cody Alan,@codybaertschi,More from Watertown. #trainspotting #railroad #norfolksouthern #cprr #canadianpacific,2020-02-09T20:55:18.000Z
Train Aficionado,@railaficionado,"Southbound super long mixed freight making its way through Landis, NC.Taken 02/07/2020#trains #railroad #northcarolina #norfolksouthern #locomotive #railfan #sky #railroadcrossing",2020-02-07T19:46:42.000Z
Daryl Kruse,@UPRRGenSub,Progress.  #Modelrailroad #mrhobbyist #atlasrr #athearn #nscalemodeltrains #MODELRAILWAY #Nscale #modelrailroading #modelrailroader #KatoUSAInc #nmraonline #athearntrains #AtlasRR #microscale_decals #scaletrains #norfolksouthern #unionpacific #woodlandscenics #madewithwoodland,2020-02-07T23:52:39.000Z
Train Aficionado,@railaficionado,"Local Norfolk Southern pushing  through Landis with the caboose leading to the old Spencer, NC yard.Taken 02/07/2020#landis #northcarolina #trains #railfan #railfanning #locomotive #norfolksouthern",2020-02-07T19:32:50.000Z
Tickeron,@Tickeron,"$NSC enters an Uptrend as Momentum Indicator exceeded the 0 level on February 14, 2020. View odds for this and other indicators: https://tickeron.com/go/1247989 #NorfolkSouthern #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-15T12:18:48.000Z
Train Aficionado,@railaficionado,"Local Norfolk Southern pushing  through Landis with the caboose leading to the old Spencer, NC yard.Taken 02/07/2020#landis #northcarolina #trains #railfan #railfanning #locomotive #norfolksouthern",2020-02-07T19:32:50.000Z
Tickeron,@Tickeron,"$NSC enters an Uptrend as Momentum Indicator exceeded the 0 level on February 14, 2020. View odds for this and other indicators: https://tickeron.com/go/1247989 #NorfolkSouthern #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-15T12:18:48.000Z
Train Aficionado,@railaficionado,"Bird-eye-view of the northbound Piedmont 76 approaching Linwood, NC. Taken 02/09/2020#northcarolina #railfan #linwoodnc #norfolksouthern #trainspotting #railfanning #locomotive #Piedmont #commuter #bridge #Railroadbridge #photography #sunday #sundayfunday #railroadphotography",2020-02-09T21:17:15.000Z
Train Aficionado,@railaficionado,Just rolled out of the Linwood Yard NS135 heading for the S-Line.Taken 02/09/2020#northcarolina #norfolksouthern #railroad #railroadphotography #trainspotting #railroadbridge #trains #interstate #sunset #sundayfunday #sunday #railfanning,2020-02-09T21:58:53.000Z
Dale Burns,@trainshooter,"A westbound Central of Georgia train rolls across the high Hatchet Creek trestle in Goodwater, AL.#goodwater #goodwateral #goodwateralabama #coosacounty #centralofgeorgia #cofg #cofga #norfolksouthern #ns @… https://instagram.com/p/B8gojronjFp/?igshid=vtxn4rtrepll…",2020-02-13T14:10:02.000Z
Michael E. Hoskins,@Trainframephoto,NS train 237 in Feb. of 2014 with a BNSF SD75M leading #norfolksouthern #sd75m #stacktrain #autoracks #bnsf_photos #bnsfrailway @ Duluth Georgia https://instagram.com/p/B8Xrlz1Hm5F/?igshid=1o1vvns6h4t1y…,2020-02-10T02:43:23.000Z
Tickeron,@Tickeron,"$NSC enters a Downtrend as Momentum Indicator dropped below the 0 level on February 12, 2020. View odds for this and other indicators: https://tickeron.com/go/1245538 #NorfolkSouthern #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-14T11:12:42.000Z
Tickeron,@Tickeron,"$NSC enters an Uptrend as Momentum Indicator exceeded the 0 level on February 14, 2020. View odds for this and other indicators: https://tickeron.com/go/1247989 #NorfolkSouthern #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-15T12:18:48.000Z
Tickeron,@Tickeron,"$NSC enters an Uptrend because Momentum Indicator exceeded the 0 level on February 4, 2020. View odds for this and other indicators: https://tickeron.com/go/1237254 #NorfolkSouthern #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-12T11:13:53.000Z
Train Aficionado,@railaficionado,"Bird-eye-view of the northbound Piedmont 76 approaching Linwood, NC. Taken 02/09/2020#northcarolina #railfan #linwoodnc #norfolksouthern #trainspotting #railfanning #locomotive #Piedmont #commuter #bridge #Railroadbridge #photography #sunday #sundayfunday #railroadphotography",2020-02-09T21:17:15.000Z
Tickeron,@Tickeron,"$NSC enters a Downtrend as Momentum Indicator dropped below the 0 level on February 12, 2020. View odds for this and other indicators: https://tickeron.com/go/1245538 #NorfolkSouthern #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-14T11:12:42.000Z
Tickeron,@Tickeron,"$NSC enters an Uptrend because Momentum Indicator exceeded the 0 level on February 4, 2020. View odds for this and other indicators: https://tickeron.com/go/1237254 #NorfolkSouthern #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-12T11:13:53.000Z
Alexander Chapter,@AlexanderNRHS,Check out these photos of our recent railyard expansion! https://facebook.com/southeasternngsm/posts/2369300659838255… #SENGSM #NewtonDepot #CatCoNC #MyCatawbaCounty #MakingLivingBetter #NarrowGauge #CRR1023 #NS376 #NorfolkSouthern #ETWNC #CatawbaHistory #RailroadLife #History #Preservation #NewtonNC #Open828 #My828,2019-11-30T20:45:11.000Z
Stories of Atlanta,@storiesofatl,"113 years ago, on November 29, 1906, Samuel Spencer, first president of Southern Railway - now #NorfolkSouthern – tragically died. His employees’ memorial to their beloved boss stands today in #midtownAtlanta https://youtube.com/watch?v=qXK8PJz4vRU… #storiesofatlanta",2019-11-29T14:01:00.000Z
Amy Vander Vliet,@abvandervliet,Views from a train. #Amtrak #Crescent #sleepercar #seetheSouth #trees #trains #NorfolkSouthern #raindrops #fallcolors #graffiti #coupleselfie #pixel3 https://instagram.com/p/B5YpiiEBbRM/?igshid=1vf09dl95lh31…,2019-11-27T22:10:34.000Z
Mab Mox,@mbmars01,"NEW VIDEO. After some time, we visit the area around Lula, GA again and watch multiple fast Norfolk Southern trains on their way to/from Atlanta: https://youtu.be/-v8GkMXEAhI. Enjoy the new video!#norfolksouthern… https://instagram.com/p/B5BqQoCH5t5/?igshid=1oei6pvlvfvi6…",2019-11-18T23:54:17.000Z
Action Set Go!,@action_set,We caught the #penncentral #hertiageunit today leading ns 306 into #blasdell New York passed fb. #ns1073 #norfolksouthern #diesel #diesel #railfan #wny #westernnewyork,2019-11-17T19:33:53.000Z
"Brian J. Stiehler, CGCS, MG",@hccsuper,@standardkev I’d love to be able to see that. All I can do I run my own! #NorfolkSouthern,2019-11-14T13:27:57.000Z
Huntsville Railfan,@hvillealrailfan,"Well, it's official, #NorfolkSouthern has put the EMD F Units they used for their Office Car Special up for sale, which is a bit of a shame, IMHO.Luckily for me though, I was able to chase them across my area on 4-26-19.Here are probably my favorite three shots from the chase:",2019-11-06T23:02:48.000Z
William A. Hamlin,@Railfan_84,One of my favorite locomotives is the GE-AC446M (Rebuilt Dash-9s) #Train #Trains #Freight #FreightTrain #Locomotive #Rail #Railway #Railroad #Railways #Railfan #Railfanning #Trainphoto #Tracks #RailroadTrack #Traintracks #Engine #Railphoto #Railphotography #NorfolkSouthern #ATL,2019-11-05T09:23:35.000Z
Alexander Chapter,@AlexanderNRHS,Check out these photos of our recent railyard expansion! https://facebook.com/southeasternngsm/posts/2369300659838255… #SENGSM #NewtonDepot #CatCoNC #MyCatawbaCounty #MakingLivingBetter #NarrowGauge #CRR1023 #NS376 #NorfolkSouthern #ETWNC #CatawbaHistory #RailroadLife #History #Preservation #NewtonNC #Open828 #My828,2019-11-30T20:45:11.000Z
Stories of Atlanta,@storiesofatl,"113 years ago, on November 29, 1906, Samuel Spencer, first president of Southern Railway - now #NorfolkSouthern – tragically died. His employees’ memorial to their beloved boss stands today in #midtownAtlanta https://youtube.com/watch?v=qXK8PJz4vRU… #storiesofatlanta",2019-11-29T14:01:00.000Z
Amy Vander Vliet,@abvandervliet,Views from a train. #Amtrak #Crescent #sleepercar #seetheSouth #trees #trains #NorfolkSouthern #raindrops #fallcolors #graffiti #coupleselfie #pixel3 https://instagram.com/p/B5YpiiEBbRM/?igshid=1vf09dl95lh31…,2019-11-27T22:10:34.000Z
Mab Mox,@mbmars01,"NEW VIDEO. After some time, we visit the area around Lula, GA again and watch multiple fast Norfolk Southern trains on their way to/from Atlanta: https://youtu.be/-v8GkMXEAhI. Enjoy the new video!#norfolksouthern… https://instagram.com/p/B5BqQoCH5t5/?igshid=1oei6pvlvfvi6…",2019-11-18T23:54:17.000Z
Action Set Go!,@action_set,We caught the #penncentral #hertiageunit today leading ns 306 into #blasdell New York passed fb. #ns1073 #norfolksouthern #diesel #diesel #railfan #wny #westernnewyork,2019-11-17T19:33:53.000Z
"Brian J. Stiehler, CGCS, MG",@hccsuper,@standardkev I’d love to be able to see that. All I can do I run my own! #NorfolkSouthern,2019-11-14T13:27:57.000Z
Huntsville Railfan,@hvillealrailfan,"Well, it's official, #NorfolkSouthern has put the EMD F Units they used for their Office Car Special up for sale, which is a bit of a shame, IMHO.Luckily for me though, I was able to chase them across my area on 4-26-19.Here are probably my favorite three shots from the chase:",2019-11-06T23:02:48.000Z
Action Set Go!,@action_set,We caught the #penncentral #hertiageunit today leading ns 306 into #blasdell New York passed fb. #ns1073 #norfolksouthern #diesel #diesel #railfan #wny #westernnewyork,2019-11-17T19:33:53.000Z
"Brian J. Stiehler, CGCS, MG",@hccsuper,@standardkev I’d love to be able to see that. All I can do I run my own! #NorfolkSouthern,2019-11-14T13:27:57.000Z
Huntsville Railfan,@hvillealrailfan,"Well, it's official, #NorfolkSouthern has put the EMD F Units they used for their Office Car Special up for sale, which is a bit of a shame, IMHO.Luckily for me though, I was able to chase them across my area on 4-26-19.Here are probably my favorite three shots from the chase:",2019-11-06T23:02:48.000Z
William A. Hamlin,@Railfan_84,One of my favorite locomotives is the GE-AC446M (Rebuilt Dash-9s) #Train #Trains #Freight #FreightTrain #Locomotive #Rail #Railway #Railroad #Railways #Railfan #Railfanning #Trainphoto #Tracks #RailroadTrack #Traintracks #Engine #Railphoto #Railphotography #NorfolkSouthern #ATL,2019-11-05T09:23:35.000Z
William A. Hamlin,@Railfan_84,One of my favorite locomotives is the GE-AC446M (Rebuilt Dash-9s) #Train #Trains #Freight #FreightTrain #Locomotive #Rail #Railway #Railroad #Railways #Railfan #Railfanning #Trainphoto #Tracks #RailroadTrack #Traintracks #Engine #Railphoto #Railphotography #NorfolkSouthern #ATL,2019-11-05T09:23:35.000Z
NKPHTS,@nkphts,Did you know that there are 142 cabooses of #NickelPlateRoad heritage preserved throughout the USA? How many of them have you seen? http://nkphts.org/preservation/caboose.html…#wheelingandlakeerie #norfolkandwestern #norfolksouthern #railroad #caboose #trains #trainmuseum #railroadmuseum,2019-03-07T15:16:47.000Z
NKPHTS,@nkphts,We just learned that as of 6:05 am #NickelPlateRoad 757 has crossed the #HorseshoeCurve.#nkp757 #bringback757 #norfolksouthern #steamlocomotive,2019-02-13T12:12:42.000Z
𝐀𝐧𝐭𝐢𝐇𝐞𝐫𝐨 𝐨𝐟 𝐒𝐞𝐜𝐭𝐨𝐫 𝟐𝟖𝟏𝟒,@BaconTwo4Actual,"Thanks for completely gnarling traffic during rush hour #norfolksouthern. Its greatly appreciated.  Maybe this work could have been done, oh I don't know... on the weekend? You know so people can get to work on time?#chsnews#chstrfc",2019-01-30T13:00:52.000Z
Athearn Trains,@athearntrains,#norfolksouthern power taking the high ground. #sd40dash2 #sd40 #Athearn #athearntrains #rtr #railroad #trains #modelrailway #modelrailroad #railfans_of_instagram #railfan #railfanning… https://instagram.com/p/BsWBqCzno58/?utm_source=ig_twitter_share&igshid=b8ie1ihrw5n2…,2019-01-07T18:55:27.000Z
Tony Wilbert,@twilbert,It's official. #NorfolkSouthern moving HQ to @CityofAtlanta. #CRE,2018-12-12T19:13:26.000Z
Robert Bennett,@WAVY10Bob,On @WAVY_News 10 at 6:-#BREAKING: Deadly shooting in @CityofVaBeach-3 men facing big charges in drug bust-Big development in #NorfolkSouthern possible move-Pitch for new truck yard could mean more traffic in #Portsmouth-Warning about troubles at the ATM-More sun on the way!,2018-12-11T22:26:47.000Z
Casey,@SantaFe669,"Today’s CP 286 is seen powered by a CSX SD40-3 and an NS C44-9W at Rondout, Illinois. #csx #norfolksouthern #railfanning #trains #diesellocomotives",2018-12-09T19:52:51.000Z
Brent Hoffman,@BrentHoffman1,New inland port on 100 acres announcement in Hall County this morning. #HallCounty #Norfolksouthern #Gainesville,2018-12-03T17:07:08.000Z
NKPHTS,@nkphts,Did you know that there are 142 cabooses of #NickelPlateRoad heritage preserved throughout the USA? How many of them have you seen? http://nkphts.org/preservation/caboose.html…#wheelingandlakeerie #norfolkandwestern #norfolksouthern #railroad #caboose #trains #trainmuseum #railroadmuseum,2019-03-07T15:16:47.000Z
NKPHTS,@nkphts,We just learned that as of 6:05 am #NickelPlateRoad 757 has crossed the #HorseshoeCurve.#nkp757 #bringback757 #norfolksouthern #steamlocomotive,2019-02-13T12:12:42.000Z
𝐀𝐧𝐭𝐢𝐇𝐞𝐫𝐨 𝐨𝐟 𝐒𝐞𝐜𝐭𝐨𝐫 𝟐𝟖𝟏𝟒,@BaconTwo4Actual,"Thanks for completely gnarling traffic during rush hour #norfolksouthern. Its greatly appreciated.  Maybe this work could have been done, oh I don't know... on the weekend? You know so people can get to work on time?#chsnews#chstrfc",2019-01-30T13:00:52.000Z
Athearn Trains,@athearntrains,#norfolksouthern power taking the high ground. #sd40dash2 #sd40 #Athearn #athearntrains #rtr #railroad #trains #modelrailway #modelrailroad #railfans_of_instagram #railfan #railfanning… https://instagram.com/p/BsWBqCzno58/?utm_source=ig_twitter_share&igshid=b8ie1ihrw5n2…,2019-01-07T18:55:27.000Z
Tony Wilbert,@twilbert,It's official. #NorfolkSouthern moving HQ to @CityofAtlanta. #CRE,2018-12-12T19:13:26.000Z
Robert Bennett,@WAVY10Bob,On @WAVY_News 10 at 6:-#BREAKING: Deadly shooting in @CityofVaBeach-3 men facing big charges in drug bust-Big development in #NorfolkSouthern possible move-Pitch for new truck yard could mean more traffic in #Portsmouth-Warning about troubles at the ATM-More sun on the way!,2018-12-11T22:26:47.000Z
Casey,@SantaFe669,"Today’s CP 286 is seen powered by a CSX SD40-3 and an NS C44-9W at Rondout, Illinois. #csx #norfolksouthern #railfanning #trains #diesellocomotives",2018-12-09T19:52:51.000Z
Brent Hoffman,@BrentHoffman1,New inland port on 100 acres announcement in Hall County this morning. #HallCounty #Norfolksouthern #Gainesville,2018-12-03T17:07:08.000Z
Tony Wilbert,@twilbert,It's official. #NorfolkSouthern moving HQ to @CityofAtlanta. #CRE,2018-12-12T19:13:26.000Z
Casey,@SantaFe669,"Today’s CP 286 is seen powered by a CSX SD40-3 and an NS C44-9W at Rondout, Illinois. #csx #norfolksouthern #railfanning #trains #diesellocomotives",2018-12-09T19:52:51.000Z
Athearn Trains,@athearntrains,Lunch time meet and greet with the Norfolk Southern. #norfolksouthern #nscorp #Athearn #longhoodforward,2018-11-20T21:06:24.000Z
Transcontinental Railroad Productions,@Transco95650307,"A westbound @CSX Manifest train with  CSX C40-8W 7691 and a NS SD70ACe 1010 on the CSX Pittsburgh Subdivision at Homestead, PA. #csx #freightbyrail #homesteadpa #norfolksouthern #november #pennsylvania #railfanning #railroad #trains #trainspotting",2018-11-19T04:55:56.000Z
Shannon,@Shan_Etheridge,If #NorfolkSouthern is headed to Atlanta I think @amazon should reconsider #NorfolkVA @NorfolkDowntown for their HQ2 The office tower in the beautiful Waterside District is ready for you! (Hampton Roads has plenty of land for warehouses),2018-11-06T11:45:19.000Z
Dan Kennedy 13News Now,@13DanKennedy,This is how the Atlanta City Council voted 8-6 in favor of Greenlighting the Gulch. Now we await word from #NorfolkSouthern @13NewsNow,2018-11-06T04:58:36.000Z
Andy Fletcher,@CustomTrains,"This @nscorp train carries finished #Volkswagens from @vwfactoryusa in #Chattanooga.  Chattanooga's Volkswagen factory is served by @ASLRRA member @tvrail, which interchanges the finished automobiles to #NorfolkSouthern.  See my NS artwork at http://customtrains.org/norfolk-southern.html… ",2018-11-06T02:47:20.000Z
David Hurst,@TDDavidHurst,A #NorfolkSouthern train heads toward the Conemaugh Gap alongside Route 403 near Johnstown on Sunday.,2018-11-06T00:30:54.000Z
Dan Kennedy 13News Now,@13DanKennedy,"Crowds thinning out as we near four hours of public comment. Almost 100 vocal critics and supporters of #TheGulch deal. Few mentioning #NorfolkSouthern by name. Even at this rate, the vote is expected tonight @13NewsNow",2018-11-05T22:23:52.000Z
NKPHTS,@nkphts,‘Twas the night before rechristening... Our Fall 2018 magazine honors the 50th Anniversary of #NickelPlateRoad 759’s return to steam in 1968. http://nkphts.org #nkp759 #steamlocomotive #railroad #railfan #trains #norfolkandwestern #norfolksouthern #steamtown,2018-10-29T17:41:34.000Z
Terry Hardwick,@SirHardwick,It’s not often you see an old diner car in your neighborhood......#train #trains #dinnercar #norfolksouthern #kentucky #ky #dryridge #dryridgeky #rail #road #railroad #instatrain #travelwithme #diningcar #art #trainphotography #trainphoto https://ift.tt/2DJqPFQ,2018-09-30T17:18:43.000Z
Andy Fletcher,@CustomTrains,A great honor for #RailSafetyWeek was when @MichelleGanon introduced me to Louis at the @PortNOLA Administration Building.  Louis has one of my @nscorp @olinational plaques from #NorfolkSouthern’s 2012 #RailSafety Trains. I can’t wait to get Louis a @NOPBRR poster. #RSW2018,2018-09-24T19:15:57.000Z
Railfan Depot,@RailfanDepot,"Norfolk Southern Train U56 with coke for the steel mills of NE Indiana. From the DVD ""Norfolk Southern's Buchanan Branch"". http://rfd.video/Buchanan#CoalMining #CokeForSteel #SteelMaking #NorfolkSouthern #Trains #Railfan #RailfanDepot",2018-08-01T16:03:45.000Z
NKPHTS,@nkphts,"At 5:20 PM on July 6, 1947, #NickelPlateRoad 646, Class H6-e 2-8-2 Mikado built in 1943, pauses for refreshment at Charleston, #Illinois. Nine more years of service lie ahead. NKPHTS Magazine Fall 1998. Photo by Richard Cook. #steamlocomotive #steamtrain #railfan #norfolksouthern",2018-06-27T13:59:06.000Z
Bill Didden,@RFPBill,"NS 12R (Linwood, NC to Enola, PA) through Orange, VA  #freighttrains #lumber #norfolksouthern #orangeva #railfanning #railsupremacy #trains #virginia #virginiaisforlovers",2018-05-21T01:06:49.000Z
Thomas Adventures Productions,@AdventureThomas,I drew a #NorfolkSouthern locomotive as a GEVO. @nscorp,2018-03-11T00:45:30.000Z
Jeffrey F. Holliday,@JFH6882,Thank You Tina Worley and David Sprague at #COLT and #CTI for continuing to keep this 150 year old #freightrail offering Mid-Missourians the most cost-effective and efficient intermodal option in the region with direct connection to #NorfolkSouthern @nscorp @gorail @CoMoGov,2018-01-24T04:21:21.000Z
TrainWizardPro,@TrainWizardPro,While #trainspotting yesterday a lady drove by and asked if @NickelPlate765 was coming through. I replied that unfortunately it wasn't and it was just #NorfolkSouthern action.,2018-01-21T20:22:22.000Z
Kurt T. Man,@Highspeedkurt,No era is the best era. Run it all. #norfolksouthern #hoscale #modeltrains @nscorp,2018-01-03T18:53:51.000Z
Railway Age,@RailwayAge,It took 140 years but a $75M public-private #partnership translates to heavier carload capacity and higher speeds for @nscorp on key east-west #rail route through #NewYork state.http://bit.ly/2krYAyn #freight #infrastructure #PPP #capital #congrats #NorfolkSouthern #shipbyrail,2017-12-12T20:36:37.000Z
Mark Herren,@mtskidmark,a couple of @nscorp trains meet at Moberly MO this afternoon:  Train 285 & Train 239. #NS #NorfolkSouthern #Missouri,2017-11-13T02:13:16.000Z
Railway Age,@RailwayAge,Longtime @nscorp exec moves up to strengthen #IT leadership. http://bit.ly/2kmvzYm #rail #freight #NorfolkSouthern @AAR_FreightRail #CIO,2017-10-04T14:55:38.000Z
Transcontinental Railroad Productions,@Transco95650307,"A westbound @CSX Manifest train with  CSX C40-8W 7691 and a NS SD70ACe 1010 on the CSX Pittsburgh Subdivision at Homestead, PA. #csx #freightbyrail #homesteadpa #norfolksouthern #november #pennsylvania #railfanning #railroad #trains #trainspotting",2018-11-19T04:55:56.000Z
Shannon,@Shan_Etheridge,If #NorfolkSouthern is headed to Atlanta I think @amazon should reconsider #NorfolkVA @NorfolkDowntown for their HQ2 The office tower in the beautiful Waterside District is ready for you! (Hampton Roads has plenty of land for warehouses),2018-11-06T11:45:19.000Z
Dan Kennedy 13News Now,@13DanKennedy,This is how the Atlanta City Council voted 8-6 in favor of Greenlighting the Gulch. Now we await word from #NorfolkSouthern @13NewsNow,2018-11-06T04:58:36.000Z
Andy Fletcher,@CustomTrains,"This @nscorp train carries finished #Volkswagens from @vwfactoryusa in #Chattanooga.  Chattanooga's Volkswagen factory is served by @ASLRRA member @tvrail, which interchanges the finished automobiles to #NorfolkSouthern.  See my NS artwork at http://customtrains.org/norfolk-southern.html… ",2018-11-06T02:47:20.000Z
David Hurst,@TDDavidHurst,A #NorfolkSouthern train heads toward the Conemaugh Gap alongside Route 403 near Johnstown on Sunday.,2018-11-06T00:30:54.000Z
Dan Kennedy 13News Now,@13DanKennedy,"Crowds thinning out as we near four hours of public comment. Almost 100 vocal critics and supporters of #TheGulch deal. Few mentioning #NorfolkSouthern by name. Even at this rate, the vote is expected tonight @13NewsNow",2018-11-05T22:23:52.000Z
Andy Fletcher,@CustomTrains,A great honor for #RailSafetyWeek was when @MichelleGanon introduced me to Louis at the @PortNOLA Administration Building.  Louis has one of my @nscorp @olinational plaques from #NorfolkSouthern’s 2012 #RailSafety Trains. I can’t wait to get Louis a @NOPBRR poster. #RSW2018,2018-09-24T19:15:57.000Z
David Hurst,@TDDavidHurst,A #NorfolkSouthern train heads toward the Conemaugh Gap alongside Route 403 near Johnstown on Sunday.,2018-11-06T00:30:54.000Z
Dan Kennedy 13News Now,@13DanKennedy,"Crowds thinning out as we near four hours of public comment. Almost 100 vocal critics and supporters of #TheGulch deal. Few mentioning #NorfolkSouthern by name. Even at this rate, the vote is expected tonight @13NewsNow",2018-11-05T22:23:52.000Z
NKPHTS,@nkphts,‘Twas the night before rechristening... Our Fall 2018 magazine honors the 50th Anniversary of #NickelPlateRoad 759’s return to steam in 1968. http://nkphts.org #nkp759 #steamlocomotive #railroad #railfan #trains #norfolkandwestern #norfolksouthern #steamtown,2018-10-29T17:41:34.000Z
Terry Hardwick,@SirHardwick,It’s not often you see an old diner car in your neighborhood......#train #trains #dinnercar #norfolksouthern #kentucky #ky #dryridge #dryridgeky #rail #road #railroad #instatrain #travelwithme #diningcar #art #trainphotography #trainphoto https://ift.tt/2DJqPFQ,2018-09-30T17:18:43.000Z
Inactive...,@RailfanCrew,"NS 223 (Intermodal) and NS 111 (Manifest) going around the sharp curve in Centralia, IL today with dash 9 leaders. @nscorp #NorfolkSouthern",2017-09-17T21:40:18.000Z
Microscale,@microscaledecal,"""East Meets West"" #modeltrains #nscale #norfolksouthern #santafe #EMD #SD70M #GP60 #modelrailroad #microscale #decals : @losangeleslines",2017-09-14T22:00:48.000Z
Laura DiBella,@FollowMeToFL,Inventory check. Still the most beautiful #diamond I have ever seen. Game on #NassauFL!!! #florida #crawforddiamond #norfolksouthern #csx,2017-09-13T17:13:25.000Z
Inactive...,@RailfanCrew,"8/30/17 - NS 8425 ex #Conrail dash 8 leads a westbound #NorfolkSouthern freight train in Centralia, IL on the NS Illinois Division. @nscorp",2017-09-01T01:19:28.000Z
Donald Guthrie,@Don_EGJR,Sunday mornings in Morrisville.... tying up traffic throughout town. #Nikon #NorfolkSouthern #Pennsylvania,2017-08-28T04:06:13.000Z
Alexander Chapter,@AlexanderNRHS,We've caught TWO @nscorp Heritage Units in one week!!! #NS #HeritageUnits #Railfanning #Conrail #NorfolkSouthern,2017-08-19T18:22:01.000Z
Railway Age,@RailwayAge,"Former Railway Age RRedr of the Year, @nscorp exec Stephen Tobias dies at 72.http://bit.ly/2uJEoLE #freight #rail #norfolksouthern",2017-08-10T15:07:47.000Z
TravelGumbo,@TravelGumbo,#GumboOnTheGo!#UpClose and #Personal: #NorfolkSouthern #locomotive in #Chicago #ttotTravelGumbo! Click 2 C morehttp://travelgumbo.com/clip/up-close-and-personal…,2017-07-20T01:15:57.000Z
